verdict,id,name,city,vegan_level,osm_id,osm_diet_vegan,website_status,strong_hits,counter_hits,hc_listed,chain_hit,reasoning,slug
CONFIRMED,1074e3b3-f72b-447a-8696-c6587377bc9b,"Meşhur Adıyaman Çiğ Köftecisi",Ghent,fully_vegan,11426088978,only,(no website),"","",no,,"OSM diet:vegan="only" | No website to scan | Not in HappyCow vegan list for this city",meshur-ad-yaman-cig-koftecisi-gent
SUSPECT,748bcbfb-c391-4803-96c8-005d3e4658f9,"June",Brussels,fully_vegan,12762961501,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",june-brussels
CONFIRMED,12ca9ced-b206-4d7d-a4bc-2e3d9a8af5a6,"MoMu Café",Antwerp,fully_vegan,11677063112,only,200,"","",yes,,"OSM diet:vegan="only" | HappyCow lists as Vegan for this city",momu-cafe-antwerpen
SUSPECT,610d5b67-96cc-4939-8f52-02de4ae98306,"Silex",Watermael-Boitsfort,fully_vegan,12194295833,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",silex-watermael-boitsfort-watermaal-bosvoorde
SUSPECT,88a0a27a-bbb2-4f17-bcda-44b1f3ec8ff2,"L'épicerie de Lustin",Profondeville,fully_vegan,1309181437,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",l-epicerie-de-lustin-profondeville
SUSPECT,36a47ad7-5ae1-45ce-a2f4-14f5dd93df71,"Zatar",Saint-Gilles,fully_vegan,993032378,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",zatar-saint-gilles
SUSPECT,f9cb911b-580c-42dc-b90c-28d4cacba330,"Hot Falafel",Ghent,fully_vegan,4694014271,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",hot-falafel-ghent
SUSPECT,73e377e6-11cf-4e99-b50b-0e1e954efdd6,"Cabinet d'ostéopathie vétérinaire",Tournai,fully_vegan,5154841004,yes,fetch failed,"","",no,,"OSM diet:vegan="yes" | Website unreachable: fetch failed",cabinet-d-osteopathie-veterinaire-tournai
CONFIRMED,adb2ab3f-88b8-456c-baf0-61fd73286559,"Oui Oui",Saint-Gilles,fully_vegan,11375339931,only,(no website),"","",no,,"OSM diet:vegan="only" | No website to scan",oui-oui-saint-gilles
SUSPECT,74255e39-fb4f-4727-9014-0ca6d59084c0,"Mémé Tartine",Mons,fully_vegan,3069275770,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",meme-tartine-mons
